timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1033.501,-1000.000,-227.539,-674.805,-951.660,-88.379,0
1033.505,-1000.000,12.695,-709.961,-1000.000,-301.758,0
1033.509,453.125,-649.414,-935.547,298.340,-814.453,0
1033.513,659.668,-1000.000,-989.258,943.848,-983.398,0
1033.517,-905.762,-443.848,-783.691,-552.734,-619.141,0
1033.521,-1000.000,169.434,-565.918,-1000.000,-412.598,0
1033.525,-66.406,-378.418,-768.555,-146.484,-753.906,0
1033.529,-863.770,-1000.000,-1000.000,-863.281,-1000.000,0
1033.532,-178.223,-606.934,-823.730,-29.297,-803.711,0
1033.536,-1000.000,215.820,-485.840,-1000.000,-306.152,0
1033.540,-184.082,-160.645,-644.531,-369.141,-358.887,0
1033.544,-808.594,-1000.000,-988.770,-870.117,-896.973,0
1033.548,266.113,-786.621,-921.387,280.273,-871.094,0
1033.552,-1000.000,-21.484,-679.199,-1000.000,-558.594,0
1033.556,-642.578,-25.879,-624.512,-758.789,-177.246,0
1033.560,-989.258,-807.617,-890.137,839.844,-525.879,0
1033.564,294.922,-978.027,-985.352,633.789,-994.629,0
1033.568,-1000.000,-301.270,-759.766,-921.387,-501.465,0
1033.572,-1000.000,40.039,-656.738,-1000.000,-230.957,0
1033.575,288.574,-583.496,-865.723,233.887,-617.188,0
1033.579,715.332,-1000.000,-997.559,-856.934,-984.375,0
1033.583,-854.492,-534.180,-783.691,-200.195,-552.246,0
1033.587,-1000.000,113.770,-528.809,-1000.000,-281.738,0
1033.591,-158.691,-378.906,-719.727,-173.828,-504.395,0
1033.595,-860.352,-1000.000,-1000.000,-797.363,-720.703,0
1033.599,-65.430,-702.148,-838.379,228.516,-819.336,0
1033.603,-1000.000,41.992,-533.203,-1000.000,-617.676,0
1033.607,-271.973,-226.074,-638.672,-392.090,-694.336,0
1033.611,-831.055,-996.094,-970.215,-850.098,-965.820,0
1033.614,280.273,-858.398,-889.160,502.930,-916.992,0
1033.618,-1000.000,-141.113,-576.172,-1000.000,-678.223,0
1033.622,-753.906,-90.820,-562.500,-523.926,-687.988,0
1033.626,898.438,-806.152,-874.512,919.434,-922.852,0
1033.630,428.711,-1000.000,-948.242,-855.957,-969.727,0
1033.634,-1000.000,-475.586,-653.320,125.488,-650.879,0
1033.638,-1000.000,-124.512,-518.066,-45.898,-528.320,0
1033.642,173.340,-649.902,-773.926,998.535,-862.305,0
1033.646,942.871,-1000.000,-1000.000,-966.797,-1000.000,0
1033.650,-574.707,-659.180,-691.895,937.988,-622.070,0
1033.654,-1000.000,-138.672,-392.090,719.238,-557.617,0
1033.657,-171.875,-513.184,-688.965,805.664,-976.074,0
1033.661,-822.266,-1000.000,-1000.000,-898.438,-996.582,0
1033.665,125.488,-773.926,-800.293,771.973,-897.461,0
1033.669,-1000.000,-80.078,-441.406,-263.184,-759.766,0
1033.673,-299.316,-250.977,-554.199,134.766,-911.133,0
1033.677,-820.312,-969.238,-910.645,-875.000,-960.938,0
1033.681,279.297,-907.715,-898.926,905.762,-1000.000,0
1033.685,-1000.000,-203.613,-557.129,-565.918,-789.551,0
1033.689,-751.465,-9.766,-463.867,-434.082,-476.074,0
1033.693,894.043,-736.328,-814.453,998.535,-872.559,0
1033.697,629.395,-1000.000,-990.234,-895.020,-1000.000,0
1033.700,-915.527,-489.746,-777.832,-92.773,-928.223,0
1033.704,-1000.000,-7.324,-671.387,-1000.000,-793.457,0
1033.708,106.934,-520.508,-850.586,146.484,-850.586,0
1033.712,-858.887,-1000.000,-996.094,-740.234,-995.605,0
1033.716,-244.141,-680.664,-909.180,150.391,-935.547,0
1033.720,-1000.000,-34.668,-776.855,-1000.000,-802.734,0
1033.724,-186.523,-379.395,-838.379,-221.680,-776.367,0
1033.728,-802.246,-1000.000,-986.816,-782.715,-963.379,0
1033.732,272.949,-781.738,-928.223,262.207,-951.660,0
1033.736,-1000.000,-62.012,-727.539,-1000.000,-828.125,0
1033.739,-382.324,-141.602,-768.066,-681.641,-886.719,0
1033.743,-831.055,-897.949,-975.586,952.148,-972.168,0
1033.747,356.934,-925.781,-947.754,505.859,-931.641,0
1033.751,-1000.000,-230.469,-765.137,-981.934,-863.770,0
1033.755,-840.332,22.461,-735.840,-1000.000,-912.109,0
1033.759,751.465,-638.672,-920.898,254.395,-967.773,0
1033.763,830.078,-1000.000,-991.699,-994.629,-977.539,0
1033.767,-734.375,-520.020,-870.605,-489.746,-930.664,0
1033.771,-1000.000,6.348,-737.793,-1000.000,-728.516,0
1033.775,37.598,-488.281,-866.699,-107.422,-831.543,0
1033.779,-804.688,-1000.000,-996.582,-789.062,-992.188,0
1033.782,-74.219,-713.867,-882.324,220.703,-693.359,0
1033.786,-1000.000,-104.004,-808.594,-1000.000,-721.680,0
1033.790,-195.801,-414.062,-903.320,-258.789,-959.961,0
1033.794,-798.340,-1000.000,-985.840,-790.527,-980.957,0
1033.798,275.879,-837.402,-915.527,375.977,-876.953,0
1033.802,-1000.000,-193.848,-751.953,-1000.000,-794.922,0
1033.806,-501.953,-198.242,-768.066,-661.133,-853.027,0
1033.810,-885.742,-873.535,-950.684,958.496,-939.453,0
1033.814,464.355,-978.516,-964.355,709.961,-988.770,0
1033.818,-1000.000,-337.891,-717.285,-816.895,-712.402,0
1033.822,-984.863,3.906,-619.141,-1000.000,-623.047,0
1033.825,523.438,-607.422,-866.211,204.102,-900.879,0
1033.829,960.449,-1000.000,-998.535,-839.844,-996.094,0
1033.833,-571.289,-596.191,-849.121,-175.781,-918.457,0
1033.837,-1000.000,-8.789,-616.211,-1000.000,-459.473,0
1033.841,-118.164,-458.984,-771.973,-169.922,-595.215,0
1033.845,-815.430,-1000.000,-1000.000,-791.992,-1000.000,0
1033.849,38.086,-758.301,-924.316,241.211,-924.316,0
1033.853,-1000.000,-131.836,-773.926,-1000.000,-674.805,0
1033.857,-202.148,-374.023,-824.219,-355.957,-668.945,0
1033.861,-795.410,-1000.000,-990.234,-829.102,-1000.000,0
1033.864,273.926,-872.070,-927.734,394.043,-856.445,0
1033.868,-1000.000,-242.676,-739.258,-1000.000,-581.543,0
1033.872,-631.836,-147.461,-711.426,-798.340,-526.855,0
1033.876,-970.703,-798.828,-899.414,804.688,-674.805,0
1033.880,538.086,-1000.000,-977.539,765.137,-973.633,0
1033.884,-968.750,-410.645,-789.551,-755.859,-815.918,0
1033.888,-1000.000,12.695,-668.945,-1000.000,-704.590,0
1033.892,264.160,-542.969,-855.957,-6.348,-878.906,0
1033.896,-925.293,-1000.000,-1000.000,-859.863,-999.512,0
1033.900,-402.344,-607.910,-840.820,-145.020,-852.539,0
1033.904,-1000.000,26.855,-646.973,-1000.000,-655.762,0
1033.907,-174.805,-408.203,-803.223,-195.312,-803.223,0
1033.911,-815.918,-1000.000,-1000.000,-804.199,-1000.000,0
1033.915,151.367,-766.113,-902.832,261.230,-813.965,0
1033.919,-1000.000,-109.375,-746.094,-1000.000,-588.379,0
1033.923,-334.961,-293.945,-829.102,-515.625,-661.133,0
1033.927,-831.055,-974.609,-991.699,-903.809,-946.777,0
1033.931,279.297,-894.043,-908.691,454.102,-699.707,0
1033.935,-1000.000,-250.977,-745.117,-1000.000,-395.508,0
1033.939,-812.500,-85.938,-779.785,-1000.000,-648.438,0
1033.943,813.477,-734.375,-948.730,411.133,-901.367,0
1033.947,648.438,-1000.000,-966.309,845.215,-916.992,0
1033.950,-915.039,-417.480,-777.832,-683.594,-615.234,0
1033.954,-1000.000,97.168,-654.297,-1000.000,-560.059,0
1033.958,105.957,-446.777,-813.477,-75.684,-704.102,0
1033.962,-833.496,-1000.000,-1000.000,-989.258,-1000.000,0
1033.966,-198.730,-604.004,-842.773,-300.293,-715.820,0
1033.970,-1000.000,130.859,-548.340,-1000.000,-114.746,0
1033.974,-187.500,-303.223,-755.859,-300.781,-574.219,0
1033.978,-804.199,-1000.000,-1000.000,-855.957,-1000.000,0
1033.982,267.578,-775.391,-929.199,257.812,-872.559,0
1033.986,-1000.000,-50.781,-731.445,-1000.000,-444.824,0
1033.989,-458.984,-162.109,-792.480,-750.488,-524.902,0
1033.993,-868.652,-909.668,-981.934,869.629,-955.078,0
1033.997,279.297,-933.594,-971.191,454.590,-934.570,0
1034.001,-1000.000,-268.555,-815.430,-1000.000,-578.613,0
1034.005,-970.703,11.719,-714.355,-1000.000,-277.344,0
1034.009,573.242,-630.371,-896.973,229.492,-625.000,0
1034.013,729.492,-1000.000,-996.582,904.297,-1000.000,0
